Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
ART241004,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.38,42.3628901930963,24.053177297390565,73.65128554930921
ART241006,Bombus pascuorum,Pilosella sp.,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,5.64,135.5358973093754,76.84027588069466,238.85739362428953
ART241007,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.35,41.608335014539264,23.47970575539413,73.04977504373703
ART241010,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.85,57.39463783183976,31.78895481828562,101.212627990963
ART241013,Bombus pascuorum,Ajuga reptans,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.74,53.22544904768773,30.565888435760154,93.26478463087001
ART241014,Bombus pascuorum,Ajuga reptans,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.95,60.4603200574126,35.01288276922275,106.61248645708719
ART241016,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.84,56.85759573307492,32.2813053446125,100.11528292623574
ART241017,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.8,55.96003755184707,32.07047732680816,97.63508089821167
ART241018,Bombus pascuorum,NA,2024,06/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.91,58.90547030312148,33.633204375275945,102.06223350867437
ATZ241101,Bombus pascuorum,Lamium galeobdolon,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.59,48.841719570884784,28.00264346426639,85.20789051930666
ATZ241114,Bombus pascuorum,Anthyllis vulneraria,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.63,49.4716604871419,28.381483301198344,84.63846842364097
ATZ241115,Bombus pascuorum,Lotus corniculatus,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.62,49.99738086234375,28.13340313974737,87.25916835489281
ATZ241116,Bombus pascuorum,Trifolium pratense,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,2.8,27.738775226391233,15.999854193663868,49.98225492094473
ATZ241117,Bombus pascuorum,Lotus corniculatus,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,4.15,67.8558486090858,37.76990615869583,118.97434884155656
