Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
BPGOR241411;Bombus pascuorum;Scrophularia alpestris;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;6.17
BPVAL250101;Bombus pascuorum;Prunella laciniata;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250102;Bombus pascuorum;Thymus sp.;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250103;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250104;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250105;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250106;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250107;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250108;Bombus pascuorum;Trifolium pratense;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250109;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250110;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPVAL250111;Bombus pascuorum;Centaurium littorale;2025;26/6/25;Lahoz, Valderejo, Valdegovía;Natural;Araba;42,8877239;-3,2404513;979,4815265;"AM; LC; ET";;Female
BPKAR250401;Bombus pascuorum;Trifolium pratense;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250402;Bombus pascuorum;Prunella vulgaris;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250403;Bombus pascuorum;Echium vulgare;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250404;Bombus pascuorum;Echium vulgare;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;
BPKAR250405;Bombus pascuorum;na;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250406;Bombus pascuorum;Prunella vulgaris;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250407;Bombus pascuorum;Lotus sp.;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250408;Bombus pascuorum;Prunella vulgaris;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250409;Bombus pascuorum;Echium vulgare;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250410;Bombus pascuorum;Lathyrus latifolius;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250411;Bombus pascuorum;Lotus sp.;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPKAR250412;Bombus pascuorum;Trifolium pratense;2025;17/6/25;Escota, Ribera-Alta;Agrícola;Araba;42,836072;-2,9558087;760,392;"LC; ET";;Female
BPGAS250901;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250902;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Male
BPGAS250903;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250904;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250905;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250906;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250907;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250908;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250909;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250910;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250911;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPGAS250912;Bombus pascuorum;Salvia officinalis;2025;26/6/25;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42,874684;-2,6845993;506,392;"AM; LC; ET";;Female
BPZEB250701;Bombus pascuorum;Lotus corniculatus;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250702;Bombus pascuorum;na;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250703;Bombus pascuorum;Oenothera cf. glazioviana;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250704;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250705;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250706;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250707;Bombus pascuorum;Rubus sp.;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250708;Bombus pascuorum;Meliotus albus;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Male
