Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
KAR250401;Bombus pascuorum;Trifolium pratense;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;5.66
KAR250402;Bombus pascuorum;Prunella vulgaris;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;3.91
KAR250403;Bombus pascuorum;Echium vulgare;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;5.01
KAR250405;Bombus pascuorum;na;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;5.28
KAR250406;Bombus pascuorum;Prunella vulgaris;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;3.47
KAR250407;Bombus pascuorum;Lotus sp.;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;4.15
KAR250408;Bombus pascuorum;Prunella vulgaris;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;3.64
KAR250409;Bombus pascuorum;Echium vulgare;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;3.93
KAR250410;Bombus pascuorum;Lathyrus latifolius;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;5.92
KAR250411;Bombus pascuorum;Lotus sp.;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;3.89
KAR250412;Bombus pascuorum;Trifolium pratense;2025;17/06/2025;Escota, Ribera-Alta;Agrícola;Araba;42.836.072;-29.558.087;760.392;"LC; ET";Female;2.89
GAS250901;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.62
GAS250902;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Male;3.96
GAS250903;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.22
GAS250904;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.59
GAS250905;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.7
GAS250906;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.71
GAS250907;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;4.62
GAS250908;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.98
GAS250909;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.47
GAS250910;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;3.75
GAS250911;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;2.79
GAS250912;Bombus pascuorum;Salvia officinalis;2025;26/06/2025;Abetxuko, Vitoria-Gasteiz;Urbano;Araba;42.874.684;-26.845.993;506.392;"AM; LC; ET";Female;4.06
ZEB250701;Bombus pascuorum;Lotus corniculatus;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;4.31
ZEB250702;Bombus pascuorum;na;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;3.3
ZEB250703;Bombus pascuorum;Oenothera cf. glazioviana;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;3.92
ZEB250704;Bombus pascuorum;Dipsacus fullonum;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;4.09
